� � � � � � Product ID,� � � � � � Product Name,� � � � � � Price,� � � � � � Discount(%),No. of Sells,� � � � � � City,� � � � � � SKU,Revenue,No of reviews,Country
392380671,Export Quality New T-Shirt Fabric Soft And Comfortable - T Shirt,90,64% Off,28,Dhaka,392380671_BD-1956965000,2520,A,BD
391040820,2 Pis Stylist Summer - Tshirt For Men or ledis,190,47% Off,24,Dhaka,391040820_BD-2078066743,4560,A,BD
269755117,Stream Rap Men's T-Shirt II Printed Casual - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,95,52% Off,22600,Dhaka,269755117_BD-1632223359,2147000,1434,BD
192042736,Black Printed Summer Combo T-Shirt & Pant for Men,256,53% Off,36900,Dhaka,192042736_BD-1138894260,9446400,3086,BD
342846611,China Vland Degin Tshirt For men,99,50% Off,3100,Dhaka,342846611_BD-1672821055,306900,192,BD
323501490,Best Quality Casual T-shirt's for men,107,57% Off,6400,Dhaka,323501490_BD-1541186770,684800,380,BD
361958690,ami amar moto New Desing Soft & Comfortable T-shirt For Men-T-shirt,96,52% Off,1700,Dhaka,361958690_BD-1786323392,163200,82,BD
391046127,Combo 2 PIS Comfortable casual T-shirt for men,199,38% Off,9,Dhaka,391046127_BD-2107345627,1791,1,BD
226355635,New Stylist Printed  Half Sleeve T Shirt For Men,98,72% Off,8800,Dhaka,226355635_BD-1969289060,862400,800,BD
387638707,Babchi Ekto aVadro Hobo Desing Soft & Comfortable T-shirt For men new 2024,95,52% Off,17,Dhaka,387638707_BD-1933076896,1615,A,BD
387055813,Maddo's aesthetic,,,,,,,,
132668666,Olive Polyester Short Sleeve T-Shirt for Men,157,50% Off,3400,Dhaka,132668666_BD-1053836628,533800,328,BD
391780478,Multi Color T Shirt For Men - Comfortable,90,64% Off,42,Dhaka,391780478_BD-1954907500,3780,A,BD
333360720,Casual Printed Jersey T-Shirt for Men's (Joto Crush Toto Bash),90,N/A,1300,Dhaka,333360720_BD-1646492844,117000,59,BD
266715505,Comfortable Jersey Febric Printed Black T-Shirt for Men - Comfort Style with Half Sleeve Round Collar T-Shirt,89,50% Off,2200,Dhaka,266715505_BD-1238360067,195800,109,BD
391040511,Daraz New Desing Soft & Comfortable T-shirt For Men,99,50% Off,23,Dhaka,391040511_BD-2078265349,2277,1,BD
391462662,Jersey T-Shirt For Man| Half Hand T Shirt For Men,90,64% Off,18,Dhaka,391462662_BD-1953540347,1620,A,BD
392380469,T-Shirt Fabric Soft And Comfortable For Men All Season,90,78% Off,17,Dhaka,392380469_BD-1956957026,1530,2,BD
355985488,Lamborgani Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt,99,50% Off,352,Dhaka,355985488_BD-1751297032,34848,20,BD
391441562,Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,90,64% Off,28,Dhaka,391441562_BD-1953247472,2520,1,BD
340800582,Black Combo T-Shirt & trouser Pant For Man,425,29% Off,298,Dhaka,340800582_BD-1670784138,126650,27,BD
342892162,boys Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt,92,49% Off,887,Dhaka,342892162_BD-1672867960,81604,39,BD
351467493,highway half Sleep T-shirt For Men,,,,,,,,
391808240,Love Summer Stylist T-Shirt - Tshirt For Men - T Shirt For Man Tabassum Fashion LTD,90,55% Off,14,Dhaka,391808240_BD-1954982725,1260,A,BD
143636151,Black Cotton Short Sleeve T-Shirt For Men - T Shirt For Man,110,69% Off,1900,Dhaka,143636151_BD-1068004378,209000,180,BD
346212880,Black Cotton Combo T-Shirt & trouser Pant For Man,357,55% Off,365,Dhaka,346212880_BD-1694275213,130305,24,BD
347638839,Summer Printed Combo T-Shirt & Pant - Black - T-Shirt - T Shirt For Man - T Shirt For Man - T Shirt For Man,375,37% Off,1600,Dhaka,347638839_BD-1700635052,600000,95,BD
387641544,HatE & LoVe Design Soft & Comfortable T-shirt For men new 2024,95,52% Off,N/A,Dhaka,387641544_BD-1933080438,#VALUE!,A,BD
389961569,Stylist premium Quality Summer T- Shirt For Men -  T Shirt,165,27% Off,26,Dhaka,389961569_BD-1946112521,4290,1,BD
313948897,2023 Summer New Fashionable T-shirt For Men [ High Quality Classical Tops ],210,68% Off,7900,Dhaka,313948897_BD-1408974526,1659000,675,BD
395719196,Always Smile  Design Soft & Comfortable Men's T-Shirt - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,94,50% Off,N/A,Dhaka,395719196_BD-1967369856,#VALUE!,A,BD
382643159,Premium Quality - New T shirt -Febric soft and comfortable to wear - T Shirt - T Shirt For Man - Couture - High-end - Iconic Style,79,60% Off,83,Dhaka,382643159_BD-1916165054,6557,9,BD
248534191,Solid Casual Men's T-Shirt - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,95,37% Off,1300,Dhaka,248534191_BD-1194686587,123500,96,BD
392385598,Export Quality T-Shirt Fabric Soft And Comfortable - T Shirt,90,64% Off,8,Dhaka,392385598_BD-1956984148,720,A,BD
361431457,Anime Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt,75,79% Off,756,Dhaka,361431457_BD-1784804810,56700,34,BD
392384397,Premium Jarsy KApor Quality - stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt,90,61% Off,7,Dhaka,392384397_BD-1956928917,630,A,BD
343711401,2 pis combo New T shirt -Febric soft and comfortable to wear - T Shirt For Man,193,44% Off,2100,Dhaka,343711401_BD-1676577640,405300,163,BD
318599187,Printed summer comfort Combo T-Shirt & Pant For Men - T Shirt For Man - T Shirt,283,56% Off,1900,Dhaka,318599187_BD-1453558559,537700,143,BD
191909875,Splendid Indispensable -Quality And Durablity -High Quality Cotton&Polyester T-shirt & 2 Quarter Pants For Man- Innovative,356,46% Off,7000,Dhaka,191909875_BD-1138825296,2492000,529,BD
388877225,Premium Quality mesh fabric T-Shirt for Men,237,53% Off,18,Rajshahi,388877225_BD-1938297710,4266,4,BD
270725233,6 Combo T-Shirt For Man| Half Sleeve T Shirt For Men | T-Shirts For Men,556,31% Off,1400,Dhaka,270725233_BD-1612081777,778400,223,BD
266379836,Always Smile T-Shirt for Man - Half Sleeve T-Shirt - Express Positivity with Comfortable and Stylish Fashion,94,47% Off,5300,Dhaka,266379836_BD-1238107899,498200,433,BD
345328368,Vabsi Ektu Vodro Hobo Printed Casual T-Shirt for Men - Showcase Unique Style in Your Casual and Stylish Fashion,99,55% Off,2000,Dhaka,345328368_BD-2078227197,198000,78,BD
391453713,Printed Casual T-Shirt//Tshirt For Men,90,64% Off,17,Dhaka,391453713_BD-1953530019,1530,A,BD
391044474,2 pse Jokar Combbo tshirt for men And Women,199,45% Off,11,Dhaka,391044474_BD-1952505619,2189,A,BD
253190397,Grey&Whit Poly-Cotton T-Shirt For Men,109,56% Off,1900,Dhaka,253190397_BD-1198636941,207100,178,BD
391043479,ওরা কয় ওরাই টপ ওরাই সব আমরা কি ফাও নি ভাইয়া Half Sleeve T-Shirt For Men - off no brand - Soft and comfortabl,99,51% Off,10,Dhaka,391043479_BD-1952501509,990,1,BD
362505268,best Premium T-Shirts For Men,99,50% Off,1100,Dhaka,362505268_BD-1788590243,108900,46,BD
325883433,4 pis combo casual Printed T Shirt For Men,389,14% Off,663,Dhaka,325883433_BD-1565764183,257907,70,BD
391459266,tylish Unisex White And Ash Color Tshirts - Tshirt For Men,90,64% Off,N/A,Dhaka,391459266_BD-1953400608,#VALUE!,A,BD
391040825,2 Pis Stylist Summer - Tshirt For Men,199,50% Off,N/A,Dhaka,391040825_BD-1952506609,#VALUE!,1,BD
391440236,Men New Fashionable New Design Digital Printed Boys T-Shirt for Men - Artful Fashion for Casual Occasions and Moderate Weather,90,64% Off,10,Dhaka,391440236_BD-1953182170,900,A,BD
351469213,hip hop half Sleep T-shirt For Men,,,,,,,,
314678238,Premium Quality mesh fabric T-Shirt for  Men,254,61% Off,2900,Rajshahi,314678238_BD-1416283558,736600,328,BD
343274497,Solid  White Colour Soft & Comfortable T-shirt,88,56% Off,165,Dhaka,343274497_BD-2127546334,14520,2,BD
391804310,Polyester Short Sleeve T-Shirt for Men,90,61% Off,N/A,Dhaka,391804310_BD-1954985152,#VALUE!,A,BD
405129671,Tara Best Tshirt Buy T-Shirts For Men In Bangladesh,89,55% Off,43,Dhaka,405129671_BD-2009361819,3827,8,BD
323349959,Mash Fabrics T-shirt for summer,229,65% Off,426,Rajshahi,323349959_BD-1543972723,97554,42,BD
392938577,White Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys,372,43% Off,34,Dhaka,392938577_BD-1959138979,12648,A,BD
389937991,premium quality t-shirt for men no girlfriend no Problem,169,32% Off,7,Dhaka,389937991_BD-1946021200,1183,1,BD
361013778,New White simple Soft & Comfortable T-shirt For Men,90,68% Off,401,Dhaka,361013778_BD-1783270857,36090,21,BD
409868007,Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,96,52% Off,11,Dhaka,409868007_BD-2025936933,1056,4,BD
302766777,Black Printed Round Neck Summer Combo T-Shirt & Pant for Men - Step Out in Style - Perfect For All Season,245,42% Off,1900,Dhaka,302766777_BD-1347516354,465500,118,BD
405288167,Mosjid Design best Premium T-Shirts For Men,89,55% Off,53,Dhaka,405288167_BD-2008812372,4717,6,BD
347906842,Special forces Round neck T-shirt for men's,420,13% Off,100,Rangpur,347906842_BD-1802523079,42000,75,BD
389955546,Stylist premium Quality Summer T-Shirt For Men - T Shirt,185,29% Off,8,Dhaka,389955546_BD-1946083429,1480,1,BD
136918705,Grey Cotton Short Sleeve T-Shirt for Men,157,21% Off,3400,Dhaka,136918705_BD-1059194589,533800,278,BD
344012170,Green Printed Exclusive Summer Combo T-Shirt & Pant,315,32% Off,1600,Dhaka,344012170_BD-1678250885,504000,135,BD
391440815,Indispensable Quality and Durability - Half Sleeve Chinese Microfibre T-Shirts for Men - Innovative,,,,,,,,
411672551,Plen Marshmallow Trendy t- shirt Cat design,95,52% Off,35,Dhaka,411672551_BD-2036824703,3325,2,BD
361185449,T-SHIRT dream smile design Sky blue colour,96,52% Off,490,Dhaka,361185449_BD-1784012317,47040,36,BD
392943376,Grey Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys,370,43% Off,12,Dhaka,392943376_BD-1959155620,4440,1,BD
387656018,Summer Printed Combo T-Shirt & Pant For Men,335,48% Off,N/A,Dhaka,387656018_BD-1933118945,#VALUE!,A,BD
347679974,New Collection Super dejain Summer Combo T-Shirt & Full Pant,477,65% Off,489,Dhaka,347679974_BD-2020513939,233253,40,BD
306087602,Premium Quality  Mesh Fabrics T-Shirt for men,254,61% Off,4600,Rajshahi,306087602_BD-1368463418,1168400,765,BD
325299657,black colour combo set t shirt 3/4 pant for mans,267,24% Off,1100,Dhaka,325299657_BD-1706004803,293700,55,BD
182257407,New Comfortable and Soft T-Shirt for Men - Just Do It - Ideal for All Seasons,212,78% Off,7400,Dhaka,182257407_BD-1128514987,1568800,844,BD
394312630,White Combo Set Half Sleeve White T-Shirt & Black Quarter Pant For Men - T Shirt & Pant For Boys,370,43% Off,14,Dhaka,394312630_BD-1962479377,5180,1,BD
391044282,New jarsy kapor  Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt,99,50% Off,5,Dhaka,391044282_BD-1952497656,495,A,BD
111364071,Cotton Casual T-Shirt for Men - Effortless Style with Comfortable Fabric,117,61% Off,1800,Dhaka,111364071_BD-1028324036,210600,205,BD
343864598,Relex New Desing Stylish Casual T-Shirt for men,99,53% Off,46,Dhaka,343864598_BD-1677134336,4554,2,BD
324317267,Black High Staylish Full Sleeve  T-Shirt For Men,248,45% Off,2800,Dhaka,324317267_BD-1720419210,694400,123,BD
387642574,Summer Printed Combo T-Shirt & Pant For Men,330,49% Off,11,Dhaka,387642574_BD-1933112330,3630,A,BD
344002355,T-Shirt For Man| Half Sleeve T Shirt For Men,99,52% Off,1500,Dhaka,344002355_BD-1678243371,148500,86,BD
321881190,Half Sleeve Chinese Microfiber Printed T-Shirts for Women - Trendy and Comfortable Casual Wear,99,60% Off,2900,Dhaka,321881190_BD-1499933574,287100,307,BD
361427236,Anime Half-Sleeve T-shirt,,,,,,,,
344499989,Ash  Joker  Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt,95,57% Off,148,Dhaka,344499989_BD-1682678512,14060,4,BD
334125624,Always Smile Jersey T-Shirt For Man| Half Sleeve T Shirt For Men,97,61% Off,2000,Dhaka,334125624_BD-1625716529,194000,81,BD
316296556,T-shirt for men premium quality. 1,175,73% Off,8200,Rajshahi,316296556_BD-1877385117,1435000,913,BD
271309266,Combo Set - T-Shirt and Trouser for Men - Soft Fabric and Comfortable Ensemble,,,,,,,,
298752868,Stylish Addition - New Stylist Printed Cotton Haf Sleeve T Shirt For Men Haf Sleeve T Shirt For Men - T Shirt - Modern - Choice Expression,200,52% Off,1000,Dhaka,298752868_BD-1954515957,200000,71,BD
269755117,Stream Rap Men's T-Shirt II Printed Casual - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,95,52% Off,22600,Dhaka,269755117_BD-1632223359,2147000,1434,BD
192042736,Black Printed Summer Combo T-Shirt & Pant for Men,256,53% Off,36900,Dhaka,192042736_BD-1138894260,9446400,3086,BD
342846611,China Vland Degin Tshirt For men,99,50% Off,3100,Dhaka,342846611_BD-1672821055,306900,192,BD
323501490,Best Quality Casual T-shirt's for men,107,57% Off,6400,Dhaka,323501490_BD-1541186770,684800,380,BD
361958690,ami amar moto New Desing Soft & Comfortable T-shirt For Men-T-shirt,96,52% Off,1700,Dhaka,361958690_BD-1786323392,163200,82,BD
247191593,Stylish Cotton Half Sleeve T-Shirt For Men,188,58% Off,3500,Dhaka,247191593_BD-1926009609,658000,241,BD
300361313,Complete Your Wardrobe with a Black Cotton Combo T-Shirt & Pant for Men - T-Shirt & Trouser Pant for Men - Very Comfortable and Fashionable,437,27% Off,4200,Dhaka,300361313_BD-1334495098,1835400,384,BD
346218154,Black T-Shirt And 2 Quarter Pant For Men,246,38% Off,3700,Dhaka,346218154_BD-1694250523,910200,184,BD
356003754,Brazil 5 star  Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt,99,51% Off,3000,Dhaka,356003754_BD-1751493665,297000,170,BD
394493725,no girls Premium Quality - stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt,96,46% Off,1600,Dhaka,394493725_BD-1962870169,153600,50,BD
112966697,Cotton T-Shirt For Man - T Shirt For Man - T Shirt For Man - T Shirt For Man,113,81% Off,4000,Dhaka,112966697_BD-1030044950,452000,329,BD
387640686,Summer Printed Combo T-Shirt & Pant For Men,335,48% Off,7,Dhaka,387640686_BD-1933093692,2345,1,BD
347779690,New White simple Soft & Comfortable T-shirt For Men,85,66% Off,1600,Dhaka,347779690_BD-1703118452,136000,96,BD
391622610,Men's T-Shirts Online: Buy T-Shirts For Men In Bangladesh – Tshirt,95,52% Off,N/A,Dhaka,391622610_BD-1954395812,#VALUE!,A,BD
323907698,Best Quality Casual T-shirt's for men,109,56% Off,11,Dhaka,323907698_BD-1546489714,1199,2,BD
228207276,Half Sleeve T-Shirt For Men,127,56% Off,2100,Rangpur,228207276_BD-1172104486,266700,178,BD
394590606,MEN'S COTTON T-SHIRT Dhonsher Ses,344,28% Off,5,Dhaka,394590606_BD-1963325229,1720,1,BD
387639545,Summer Printed Combo T-Shirt & Pant For Men,327,50% Off,7,Dhaka,387639545_BD-1933084286,2289,A,BD
387637981,Summer Printed Combo T-Shirt & Pant For Men,335,48% Off,N/A,Dhaka,387637981_BD-1933118847,#VALUE!,A,BD
391810092,T-shirt for men premium quality. 1,90,63% Off,N/A,Dhaka,391810092_BD-1954976430,#VALUE!,A,BD
389097474,Best Premium Fashionable stylish premium quality Men's t-shirt,299,40% Off,N/A,Dhaka,389097474_BD-1939094988,#VALUE!,A,BD
383345726,Ensemble Yourself - Highly Durable - Premium T-shirt Fabric soft and comfortable - Sustainable Choice - Understated Sophistication,96,52% Off,29,Dhaka,383345726_BD-1919932390,2784,4,BD
197959672,Stylish - Modern Vibe - Superb Quality - Naruto Kakashi Hatake White Anime T-Shirt - T Shirt - Trend and Needful - Well Inspired & Crafted,120,66% Off,1000,Dhaka,197959672_BD-1147177837,120000,87,BD
217656531,পুরুষদের এক্সক্লুসিভ প্রিমিয়াম মানের স্টাইলিশ পোলো শার্ট,329,40% Off,265,Dhaka,217656531_BD-1165632621,87185,23,BD
337931764,Exclusive High Quality T-shirt & 2 Quarter Pants For Man,257,27% Off,245,Dhaka,337931764_BD-1649950859,62965,25,BD
213774173,Cotton Long Sleeve T-Shirt For Men - Genji .,148,51% Off,664,Dhaka,213774173_BD-1253904758,98272,49,BD
366630107,Premium Print stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt,89,54% Off,315,Dhaka,366630107_BD-1827467561,28035,17,BD
266190896,Durga Puja Dugga Dugga Casual Half Sleeve T-Shirt For Men's,125,52% Off,1000,Dhaka,266190896_BD-1557263020,125000,43,BD
387642822,Summer Printed Combo T-Shirt & Pant For Men,335,48% Off,N/A,Dhaka,387642822_BD-1933123959,#VALUE!,1,BD
367042532,Exclusive Jersy half Sleeve T Shirt For Men - T Shirt,96,52% Off,305,Dhaka,367042532_BD-1829607054,29280,10,BD
339057216,2024 New Excellent T-shirts Of Good Quality Men's half-sleeved T-shirts,99,50% Off,3400,Dhaka,339057216_BD-1660567469,336600,164,BD
390369649,Trendy Stylish Fashion tops ladies short sleeve casual t-shirt for grail,183,N/A,8,Dhaka,390369649_BD-1949760647,1464,1,BD
361182960,T-SHIRT FOR MEN Star design ash colour,96,52% Off,239,Dhaka,361182960_BD-1784002804,22944,22,BD
393952566,2024 New Stylist Angelic Printed Half Sleeve T Shirt For Men - T Shirt For Man,161,55% Off,31,Dhaka,393952566_BD-1962076622,4991,2,BD
387655030,Summer Printed Combo T-Shirt & Pant For Men,335,48% Off,25,Dhaka,387655030_BD-1933140084,8375,A,BD
391041715,2 Short Sleeve T-Shirt For Man or women,199,50% Off,N/A,Dhaka,391041715_BD-1952491999,#VALUE!,A,BD
344188950,Brazil  Desing Fashionable T-shirt for men,99,51% Off,212,Dhaka,344188950_BD-1678820662,20988,11,BD
351434068,AMR Brand Mesh Fabric Soft And Comfortable T-shirt for Men,223,55% Off,150,Dhaka,351434068_BD-1723614159,33450,8,BD
387654010,Summer Printed Combo T-Shirt & Pant For Men,335,48% Off,5,Dhaka,387654010_BD-1933129317,1675,A,BD
280359067,SMUG Premium T-shirt Fabric soft and comfortable,287,52% Off,37300,Dhaka,280359067_BD-1680737378,10705100,4671,BD
277203575,Excellent Chinese Design Comfortable Full Sleeve Tshirt For Menz - T Shirt,120,54% Off,290,Dhaka,277203575_BD-1257144753,34800,12,BD
272439406,BLACK COLOUR COTTON Full Sleeve Round Neck CASUAL T-SHIRT FOR MEN - Comfortable and Stylish Wear,197,53% Off,449,Dhaka,272439406_BD-1246282872,88453,42,BD
384015832,NKE design Best Quality Casual গেঞ্জি ছেলেদের Trendy t- shirt | Half Sleeve genji for man,94,53% Off,103,Dhaka,384015832_BD-1921590891,9682,4,BD
346218243,Black T-Shirt And 2 Quarter Pant For Men,271,32% Off,52,Dhaka,346218243_BD-1694250649,14092,5,BD
367083627,Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,96,52% Off,104,Dhaka,367083627_BD-1830151512,9984,12,BD
313422443,Trendy Fashion Short Sleeve -T-Shirt For Man Summer Collection,199,63% Off,7700,Dhaka,313422443_BD-1453272732,1532300,552,BD
345863291,Anime  Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt,96,46% Off,51,Dhaka,345863291_BD-1692365520,4896,4,BD
345398344,কাল থেকে ভদ্র হবো Printed Casual T-Shirt//Tshirt For Men,109,50% Off,16,Dhaka,345398344_BD-1689171128,1744,1,BD
277518970,2022 New Comfortable T-Shirts Of Good Quality Men'S Full-Sleeved T-Shirts - T Shirt For Man - T Shirt For Man - T Shirt,125,52% Off,1600,Dhaka,277518970_BD-1257999481,200000,117,BD
172344664,Exclusive Summer Combo T-Shirt & Pant - T Shirt For Man - T Shirt For Man - T Shirt For Man - T Shirt,235,44% Off,661,Dhaka,172344664_BD-1783183436,155335,37,BD
226029527,Men's Black Silk Sleeveless T-Shirt,191,45% Off,1500,Dhaka,226029527_BD-1170807375,286500,190,BD
341065906,2024 New Printed Synthetic Fabric Summer Men's Short Sleeve T-Shirt,210,78% Off,441,Dhaka,341065906_BD-1671257328,92610,41,BD
338053508,Comfortable casual T-shirt for men,83,72% Off,267,Dhaka,338053508_BD-1651101148,22161,13,BD
230022047,Floral Alphabet Letters A To Z Skyblue Color T-Shirt For Men'S - T Shirt - T Shirt,125,52% Off,362,Dhaka,230022047_BD-1173498512,45250,38,BD
391329805,Trendy Stylish Fashion tops ladies short sleeve casual t-shirt for grail,192,4% Off,N/A,Dhaka,391329805_BD-1952778420,#VALUE!,A,BD
285103917,Multi color Long Sleeve Tshirt And trouser set for Men,547,16% Off,6900,Dhaka,285103917_BD-1284085877,3774300,1072,BD
304629418,Premium quality T-shirt for men,185,72% Off,3200,Rajshahi,304629418_BD-1844369342,592000,253,BD
389965248,Premium Quality  T-shirt for men,165,27% Off,N/A,Dhaka,389965248_BD-1946120211,#VALUE!,A,BD
392387813,Black Red Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys,394,34% Off,N/A,Dhaka,392387813_BD-1957047782,#VALUE!,A,BD
330392969,Indispensable -Quality And Durablity -Half Sleeve Chinese Microfibre Tshirts for Men- Innovative Qualityful - Easy To care and Longive,85,66% Off,203,Dhaka,330392969_BD-1609520653,17255,8,BD
323327960,"Travel T-shirt Tshirt For Men- ""Travel More"" - T Shirt For Man - T Shirt For Man - T Shirt For Man",360,45% Off,219,Dhaka,323327960_BD-1604192733,78840,43,BD
395699961,Kno Roder moto Hasla Tmi Stylish T-Shirt Comfortable And Soft Wear - Tshirt For Men,95,52% Off,N/A,Dhaka,395699961_BD-1967354896,#VALUE!,A,BD
300353868,Versatility with the Black Cotton Combo T-Shirt & Pant For Man - A Round Neck Casual Wear Set for Stylish Convenience,437,27% Off,328,Dhaka,300353868_BD-1334480122,143336,27,BD
389091787,Best Premium Fashionable stylish premium quality Men's t-shirt measurements,299,40% Off,5,Dhaka,389091787_BD-1939079855,1495,A,BD
331237584,Export Quality PUMA T-Shirt Fabric Soft And Comfortable - T Shirt,300,N/A,313,Dhaka,331237584_BD-1642554302,93900,29,BD
387246802,New Stylish Free Fire Angelic Pant And T-shirt  (Set )For Men,286,77% Off,187,Dhaka,387246802_BD-1930933396,53482,11,BD
